source_title,source_author,source_year,ref_title,ref_author,ref_year,notes
The Catcher in the Rye,J.D. Salinger,1951,The Great Gatsby,F. Scott Fitzgerald,1925,"""I told him [D.B.] I liked ... The Great Gatsby... I was crazy about The Great Gatsby. Old Sport. That killed me."""
The Catcher in the Rye,J.D. Salinger,1951,Oliver Twist,Charles Dickens,1838,"""[In a movie he watches] He's carrying a copy of Oliver Twist and so's she. I could've puked."""
The Catcher in the Rye,J.D. Salinger,1951,David Copperfield,Charles Dickens,1850,"""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield crap, but I don't feel like going into it, if you want to know the truth."""
The Catcher in the Rye,J.D. Salinger,1951,A Farewell to Arms,Ernest Hemingway,1929,"""What gets me about D.B., though, he hated the war so much, and yet he got me to read this book A Farewell to Arms last summer. He said it was terrific. That's what I don't understand."""
The Catcher in the Rye,J.D. Salinger,1951,Romeo and Juliet,William Shakespeare,1597,"""Well I'm not too crazy about Romeo and Juliet... I mean I like them... They get pretty annoying sometimes. I mean I felt much sorrier when old Mercutio got killed than when Romeo and Juliet did."""
The Catcher in the Rye,J.D. Salinger,1951,The Return of the Native,Thomas Hardy,1878,"""Take old Eustacia Vye... She wasn't too sexy or anything, but even so you can't help wondering what a nun maybe thinks about when she reads about old Eustacia."""
The Catcher in the Rye,J.D. Salinger,1951,Hamlet,William Shakespeare,1623,"""...I'll have to read that play... If an actor acts it out, I hardly listen. I keep worrying about whether he's going to do something phony every minute."""
Every Summer After,Carley Fortune,2022,Rosemary's Baby,Ira Levin,1967,A gift from Sam to Percy
Every Summer After,Carley Fortune,2022,Misery,Stephen King,1987,A gift from Sam to Percy
Every Summer After,Carley Fortune,2022,The Handmaid's Tale,Margaret Atwood,1985,A gift from Sam to Percy
Every Summer After,Carley Fortune,2022,Great Expectations,Charles Dickens,1861,"[Charlie:] ""I know you're bummed that Sam's gone, but you've been moping around like Miss Havisham."""
